# energy(eV) alpha
7.739499999999999602e+00 2.330869201028897951e+05
7.786999999999999922e+00 2.308336113240330014e+05
7.834500000000000242e+00 2.278283987868893892e+05
7.881999999999999673e+00 2.233548693111295288e+05
7.929400000000000226e+00 2.180882536589102529e+05
7.976899999999999658e+00 2.134740099465126696e+05
8.024399999999999977e+00 2.099865211959337175e+05
8.071899999999999409e+00 2.072992740024225786e+05
8.119400000000000617e+00 2.047999759055592294e+05
8.166800000000000281e+00 2.019521055704410828e+05
8.214299999999999713e+00 1.988386967708878219e+05
8.261799999999999145e+00 1.955992416690361279e+05
8.309300000000000352e+00 1.923198810384577664e+05
8.356799999999999784e+00 1.887207217325559759e+05
8.404199999999999449e+00 1.843774908387032046e+05
8.451700000000000657e+00 1.795694615998320805e+05
8.499200000000000088e+00 1.752548819786546810e+05
8.546699999999999520e+00 1.723757188237268711e+05
8.594200000000000728e+00 1.711400086395707331e+05
8.641700000000000159e+00 1.706474870363258233e+05
8.689099999999999824e+00 1.699672975688819715e+05
8.736599999999999255e+00 1.687991384547879279e+05
8.784100000000000463e+00 1.673535062742950104e+05
8.831599999999999895e+00 1.657387031903958705e+05
8.879099999999999326e+00 1.638740766981202760e+05
8.926500000000000767e+00 1.616769592419541732e+05
8.974000000000000199e+00 1.592136802258153912e+05
9.021499999999999631e+00 1.567750483571399236e+05
9.069000000000000838e+00 1.544408875879213447e+05
9.116500000000000270e+00 1.521391007218893210e+05
9.163999999999999702e+00 1.498091756675599900e+05
9.211399999999999366e+00 1.472004659896056983e+05
9.258900000000000574e+00 1.443166317082554742e+05
9.306400000000000006e+00 1.413764689759300963e+05
9.353899999999999437e+00 1.388501629625556816e+05
9.401400000000000645e+00 1.369756688345981820e+05
9.448800000000000310e+00 1.355825824947177025e+05
9.496299999999999741e+00 1.345233249399357010e+05
9.543799999999999173e+00 1.336621008992222778e+05
9.591300000000000381e+00 1.327364113687261997e+05
9.638799999999999812e+00 1.314913002141552861e+05
9.686299999999999244e+00 1.295055831225649890e+05
9.733700000000000685e+00 1.267012525792306551e+05
9.781200000000000117e+00 1.238766658089485718e+05
9.828699999999999548e+00 1.217660513421496871e+05
9.876200000000000756e+00 1.204013217253804760e+05
9.923700000000000188e+00 1.196952299285463523e+05
9.971099999999999852e+00 1.194698015010492090e+05
1.001859999999999928e+01 1.192592392038130056e+05
1.006610000000000049e+01 1.187949037785433466e+05
1.011359999999999992e+01 1.184297196376346255e+05
1.016109999999999935e+01 1.184638329415614717e+05
1.020860000000000056e+01 1.187103307210052735e+05
1.025600000000000023e+01 1.188460259940426768e+05
1.030349999999999966e+01 1.185709833042731625e+05
1.035100000000000087e+01 1.179800363090244937e+05
1.039850000000000030e+01 1.173501814218158106e+05
1.044599999999999973e+01 1.170626799317400873e+05
1.049339999999999939e+01 1.174287511733488209e+05
1.054090000000000060e+01 1.183745212215649080e+05
1.058840000000000003e+01 1.195030827952374966e+05
1.063589999999999947e+01 1.203954710917233751e+05
1.068340000000000067e+01 1.209621672846445581e+05
1.073080000000000034e+01 1.212778563679001090e+05
1.077829999999999977e+01 1.217950449796237081e+05
1.082579999999999920e+01 1.229898131588282267e+05
1.087330000000000041e+01 1.249240916738241067e+05
1.092079999999999984e+01 1.269985001999695814e+05
1.096829999999999927e+01 1.284268189164166542e+05
1.101570000000000071e+01 1.289704492232955963e+05
1.106320000000000014e+01 1.291580283551426692e+05
1.111069999999999958e+01 1.296771068035452772e+05
1.115820000000000078e+01 1.307303803293761448e+05
1.120570000000000022e+01 1.319571666116037231e+05
1.125309999999999988e+01 1.330210384192838101e+05
1.130059999999999931e+01 1.339725333280135237e+05
1.134810000000000052e+01 1.347895545501667948e+05
1.139559999999999995e+01 1.355818105032973399e+05
1.144309999999999938e+01 1.365494936774884700e+05
1.149060000000000059e+01 1.378491819444161665e+05
1.153800000000000026e+01 1.392467145635173656e+05
1.158549999999999969e+01 1.405704868571135157e+05
1.163299999999999912e+01 1.417627786183848802e+05
1.168050000000000033e+01 1.427029306488277216e+05
1.172799999999999976e+01 1.434458197480287927e+05
1.177539999999999942e+01 1.440601450626152509e+05
1.182290000000000063e+01 1.447485247914269858e+05
1.187040000000000006e+01 1.456744164746250899e+05
